Year,Gender,Cause,Number of Cases
2000,Male,"Ischaemic heart diseases",3047
2000,Male,"Transport accidents",2443
2000,Male,"Cerebrovascular diseases",1788
2000,Male,"Septicaemia",1612
2000,Male,"Pneumonia",1147
2000,Female,"Ischaemic heart diseases",1499
2000,Female,"Cerebrovascular diseases",1449
2000,Female,"Septicaemia",1129
2000,Female,"Pneumonia",675
2000,Female,"Transport accidents",465
2001,Male,"Ischaemic heart diseases",3514
2001,Male,"Transport accidents",2577
2001,Male,"Cerebrovascular diseases",1954
2001,Male,"Septicaemia",1814
2001,Male,"Pneumonia",1492
2001,Female,"Cerebrovascular diseases",1697
2001,Female,"Ischaemic heart diseases",1693
2001,Female,"Septicaemia",1357
2001,Female,"Pneumonia",882
2001,Female,"Certain conditions originating in the perinatal period",560
2002,Male,"Ischaemic heart diseases",3800
2002,Male,"Transport accidents",2760
2002,Male,"Cerebrovascular diseases",2068
2002,Male,"Septicaemia",2038
2002,Male,"Pneumonia",1561
2002,Female,"Ischaemic heart diseases",1974
2002,Female,"Cerebrovascular diseases",1727
2002,Female,"Septicaemia",1495
2002,Female,"Pneumonia",978
2002,Female,"Transport accidents",505
2003,Male,"Ischaemic heart diseases",4002
2003,Male,"Transport accidents",3080
2003,Male,"Septicaemia",2462
2003,Male,"Cerebrovascular diseases",2135
2003,Male,"Pneumonia",1639
2003,Female,"Ischaemic heart diseases",1955
2003,Female,"Septicaemia",1915
2003,Female,"Cerebrovascular diseases",1839
2003,Female,"Pneumonia",1079
2003,Female,"Transport accidents",523
2004,Male,"Ischaemic heart diseases",4309
2004,Male,"Transport accidents",3066
2004,Male,"Septicaemia",2476
2004,Male,"Cerebrovascular diseases",2269
2004,Male,"Pneumonia",1786
2004,Female,"Septicaemia",2002
2004,Female,"Ischaemic heart diseases",1958
2004,Female,"Cerebrovascular diseases",1761
2004,Female,"Pneumonia",1180
2004,Female,"Transport accidents",549
2005,Male,"Ischaemic heart diseases",4787
2005,Male,"Transport accidents",3109
2005,Male,"Cerebrovascular diseases",2404
2005,Male,"Septicaemia",2266
2005,Male,"Pneumonia",1944
2005,Female,"Ischaemic heart diseases",2297
2005,Female,"Cerebrovascular diseases",1885
2005,Female,"Septicaemia",1778
2005,Female,"Pneumonia",1353
2005,Female,"Transport accidents",612
2006,Male,"Ischaemic heart diseases",5301
