Year,Category,Cause,Number of Cases
2000,Medically,"Ischaemic heart diseases",4564
2000,Medically,"Cerebrovascular diseases",3237
2000,Medically,"Transport accidents",2908
2000,Medically,"Septicaemia",2741
2000,Medically,"Pneumonia",1822
2000,Medically,"Malignant neoplasm of trachea, bronchus and lung",833
2000,Medically,"Chronic lower respiratory diseases",1270
2000,Non-Medically,"Old age 65 years and over",26559
2000,Non-Medically,"Asthma",3593
2000,Non-Medically,"Fever",2101
2000,Non-Medically,"Transport accidents-air,land and water",1366
2000,Non-Medically,"Hypertension",1214
2000,Non-Medically,"Diabetes mellitus",1076
2000,Non-Medically,"Cerebrovascular diseases",997
2000,Non-Medically,"Ischaemic heart diseases",1018
2001,Medically,"Ischaemic heart diseases",5207
2001,Medically,"Cerebrovascular diseases",3651
2001,Medically,"Septicaemia",3171
2001,Medically,"Transport accidents",3093
2001,Medically,"Pneumonia",2374
2001,Medically,"Malignant neoplasm of trachea, bronchus and lung",1012
2001,Medically,"Chronic lower respiratory diseases",1413
2001,Non-Medically,"Old age 65 years and over",26969
2001,Non-Medically,"Asthma",3295
2001,Non-Medically,"Fever",2219
2001,Non-Medically,"Diabetes mellitus",1160
2001,Non-Medically,"Hypertension",1084
2001,Non-Medically,"Transport accidents-air,land and water",1051
2001,Non-Medically,"Cerebrovascular diseases",804
2001,Non-Medically,"Ischaemic heart diseases",745
2002,Medically,"Ischaemic heart diseases",5774
2002,Medically,"Cerebrovascular diseases",3295
2002,Medically,"Septicaemia",3553
2002,Medically,"Transport accidents",3265
2002,Medically,"Pneumonia",2539
2002,Medically,"Malignant neoplasm of trachea, bronchus and lung",1151
2002,Medically,"Chronic lower respiratory diseases",1514
2002,Non-Medically,"Old age 65 years and over",29258
2002,Non-Medically,"Asthma",3347
2002,Non-Medically,"Fever",2052
2002,Non-Medically,"Diabetes mellitus",1236
2002,Non-Medically,"Hypertension",1100
2002,Non-Medically,"Transport accidents-air,land and water",961
2002,Non-Medically,"Cerebrovascular diseases",898
2002,Non-Medically,"Ischaemic heart diseases",1065
2003,Medically,"Ischaemic heart diseases",5957
2003,Medically,"Septicaemia",4377
2003,Medically,"Cerebrovascular diseases",3974
2003,Medically,"Transport accidents",3603
2003,Medically,"Pneumonia",2718
2003,Medically,"Malignant neoplasm of trachea, bronchus and lung",1125
2003,Medically,"Chronic lower respiratory diseases",1452
2003,Non-Medically,"Old age 65 years and over",30952
2003,Non-Medically,"Asthma",3338
2003,Non-Medically,"Fever",1790
2003,Non-Medically,"Diabetes mellitus",1374
2003,Non-Medically,"Hypertension",1147
2003,Non-Medically,"Transport accidents-air,land and water",862
2003,Non-Medically,"Cerebrovascular diseases",1022
2003,Non-Medically,"Ischaemic heart diseases",855
2004,Medically,"Ischaemic heart diseases",6267
2004,Medically,"Septicaemia",4478
2004,Medically,"Cerebrovascular diseases",4030
2004,Medically,"Transport accidents",3165
2004,Medically,"Pneumonia",2966
2004,Medically,"Malignant neoplasm of trachea, bronchus and lung",1203
2004,Medically,"Chronic lower respiratory diseases",1418
2004,Non-Medically,"Old age 65 years and over",30649
2004,Non-Medically,"Asthma",3440
2004,Non-Medically,"Fever",1476
2004,Non-Medically,"Diabetes mellitus",1311
2004,Non-Medically,"Hypertension",1132
2004,Non-Medically,"Transport accidents-air,land and water",682
2004,Non-Medically,"Cerebrovascular diseases",1001
2004,Non-Medically,"Ischaemic heart diseases",876
2005,Medically,"Ischaemic heart diseases",7074
2005,Medically,"Septicaemia",4044
2005,Medically,"Cerebrovascular diseases",4286
2005,Medically,"Transport accidents",3721
2005,Medically,"Pneumonia",3297
2005,Medically,"Malignant neoplasm of trachea, bronchus and lung",1303
2005,Medically,"Chronic lower respiratory diseases",1343
2005,Non-Medically,"Old age 65 years and over",31789
2005,Non-Medically,"Asthma",3678
2005,Non-Medically,"Fever",1261
2005,Non-Medically,"Diabetes mellitus",1603
2005,Non-Medically,"Hypertension",1252
2005,Non-Medically,"Transport accidents-air,land and water",604
2005,Non-Medically,"Cerebrovascular diseases",1162
2005,Non-Medically,"Ischaemic heart diseases",734
2006,Medically,"Ischaemic heart diseases",7836
2006,Medically,"Septicaemia",4053
2006,Medically,"Cerebrovascular diseases",4285
2006,Medically,"Transport accidents",3908
2006,Medically,"Pneumonia",3602
2006,Medically,"Malignant neoplasm of trachea, bronchus and lung",1375
2006,Medically,"Chronic lower respiratory diseases",1370
2006,Non-Medically,"Old age 65 years and over",31465
2006,Non-Medically,"Asthma",3688
2006,Non-Medically,"Fever",1136
2006,Non-Medically,"Diabetes mellitus",1759
2006,Non-Medically,"Hypertension",1306
2006,Non-Medically,"Cerebrovascular diseases",1192
2006,Non-Medically,"Transport accidents-air,land and water",496
2006,Non-Medically,"Ischaemic heart diseases",803
2007,Medically,"Ischaemic heart diseases",8776
2007,Medically,"Septicaemia",3975
2007,Medically,"Cerebrovascular diseases",4465
2007,Medically,"Transport accidents",3990
2007,Medically,"Pneumonia",4249
2007,Medically,"Malignant neoplasm of trachea, bronchus and lung",1430
2007,Medically,"Chronic lower respiratory diseases",1430
2007,Non-Medically,"Old age 65 years and over",31871
2007,Non-Medically,"Asthma",3594
2007,Non-Medically,"Fever",988
2007,Non-Medically,"Cerebrovascular diseases",1209
2007,Non-Medically,"Diabetes mellitus",1633
2007,Non-Medically,"Hypertension",1319
2007,Non-Medically,"Transport accidents-air,land and water",480
2007,Non-Medically,"Ischaemic heart diseases",779
2008,Medically,"Ischaemic heart diseases",9435
2008,Medically,"Septicaemia",3735
2008,Medically,"Cerebrovascular diseases",4637
2008,Medically,"Transport accidents",4290
2008,Medically,"Pneumonia",5254
2008,Medically,"Malignant neoplasm of trachea, bronchus and lung",1589
2008,Medically,"Chronic lower respiratory diseases",1484
2008,Non-Medically,"Old age 65 years and over",33545
2008,Non-Medically,"Asthma",3671
2008,Non-Medically,"Fever",947
2008,Non-Medically,"Cerebrovascular diseases",1309
2008,Non-Medically,"Diabetes mellitus",1614
2008,Non-Medically,"Hypertension",1411
2008,Non-Medically,"Transport accidents-air,land and water",345
2008,Non-Medically,"Ischaemic heart diseases",791
2009,Medically,"Ischaemic heart diseases",9361
2009,Medically,"Septicaemia",4217
2009,Medically,"Cerebrovascular diseases",4511
2009,Medically,"Transport accidents",4585
2009,Medically,"Pneumonia",6106
2009,Medically,"Malignant neoplasm of trachea, bronchus and lung",1518
2009,Medically,"Chronic lower respiratory diseases",1304
2009,Non-Medically,"Old age 65 years and over",34851
2009,Non-Medically,"Asthma",3538
2009,Non-Medically,"Fever",801
2009,Non-Medically,"Cerebrovascular diseases",1308
2009,Non-Medically,"Diabetes mellitus",1809
2009,Non-Medically,"Hypertension",1264
2009,Non-Medically,"Transport accidents-air,land and water",364
2009,Non-Medically,"Ischaemic heart diseases",757
2010,Medically,"Ischaemic heart diseases",9371
2010,Medically,"Septicaemia",4526
2010,Medically,"Cerebrovascular diseases",4763
