State,Category,Causes,Number of Cases,Percentage
Johor,Medically certified,"Ischaemic heart diseases",2982,17.9
Johor,Medically certified,"Pneumonia",2248,13.5
Johor,Medically certified,"Cerebrovascular diseases",1212,7.3
Johor,Medically certified,"COVID-19 infection",833,5.0
Johor,Medically certified,"Transport accidents",510,3.0
Johor,Medically certified,"Malignant neoplasm of trachea, bronchus and lung",337,2.0
Johor,Medically certified,"Chronic lower respiratory diseases",288,1.7
Johor,Medically certified,"Malignant neoplasm of breast",286,1.7
Johor,Medically certified,"Malignant neoplasm of colon, rectum and anus",269,1.6
Johor,Medically certified,"Diabetes mellitus",242,1.5
Johor,Non-medically certified,"Old age (65 years and over)",5158,59.8
Johor,Non-medically certified,"Hypertension",480,5.6
Johor,Non-medically certified,"Diabetes mellitus",218,2.5
Johor,Non-medically certified,"Cerebrovascular diseases",162,1.9
Johor,Non-medically certified,"Ischaemic heart diseases",151,1.7
Johor,Non-medically certified,"Trachea, bronchus, and lung cancer",120,1.4
Johor,Non-medically certified,"Colon,rectum,and anus cancer",93,1.1
Johor,Non-medically certified,"Liver cancer",92,1.1
Johor,Non-medically certified,"Breast cancer",82,0.9
Johor,Non-medically certified,"Asthma",73,0.8
Kedah,Medically certified,"Ischaemic heart diseases",1935,17.6
Kedah,Medically certified,"Pneumonia",1843,16.8
Kedah,Medically certified,"Cerebrovascular diseases",949,8.7
Kedah,Medically certified,"COVID-19 infection",585,5.3
Kedah,Medically certified,"Transport accidents",513,4.7
Kedah,Medically certified,"Chronic lower respiratory diseases",225,2.1
Kedah,Medically certified,"Diabetes mellitus",210,1.9
Kedah,Medically certified,"Malignant neoplasm of trachea, bronchus and lung",136,1.2
Kedah,Medically certified,"Hypertension diseases",118,1.1
Kedah,Medically certified,"Malignant neoplasm of colon, rectum and anus",117,1.1
Kedah,Non-medically certified,"Old age (65 years and over)",3182,47.8
Kedah,Non-medically certified,"Hypertension",466,7.0
Kedah,Non-medically certified,"Diabetes mellitus",400,6.0
Kedah,Non-medically certified,"Cerebrovascular diseases",313,4.7
Kedah,Non-medically certified,"Asthma",296,4.4
Kedah,Non-medically certified,"Ischaemic heart diseases",93,1.4
Kedah,Non-medically certified,"Colon,rectum,and anus cancer",84,1.3
Kedah,Non-medically certified,"Trachea, bronchus, and lung cancer",79,1.2
Kedah,Non-medically certified,"Breast cancer",70,1.1
Kedah,Non-medically certified,"Pneumonia",59,0.9
Kelantan,Medically certified,"Ischaemic heart diseases",1979,23.3
Kelantan,Medically certified,"Pneumonia",1190,14.0
Kelantan,Medically certified,"Cerebrovascular diseases",693,8.2
Kelantan,Medically certified,"Diabetes mellitus",246,2.9
Kelantan,Medically certified,"Transport accidents",228,2.7
Kelantan,Medically certified,"Chronic lower respiratory diseases",194,2.3
Kelantan,Medically certified,"COVID-19 infection",177,2.1
Kelantan,Medically certified,"Malignant neoplasm of trachea, bronchus and lung",110,1.3
Kelantan,Medically certified,"Malignant neoplasm of breast",100,1.2
Kelantan,Medically certified,"Hypertension diseases",91,1.1
Kelantan,Non-medically certified,"Old age (65 years and over)",2768,55.9
Kelantan,Non-medically certified,"Diabetes mellitus",229,4.6
Kelantan,Non-medically certified,"Hypertension",210,4.2
Kelantan,Non-medically certified,"Cerebrovascular diseases",194,3.9
Kelantan,Non-medically certified,"Asthma",98,2.0
Kelantan,Non-medically certified,"Ischaemic heart diseases",68,1.4
Kelantan,Non-medically certified,"Colon,rectum,and anus cancer",48,1.0
Kelantan,Non-medically certified,"Pneumonia",38,0.8
Kelantan,Non-medically certified,"Trachea, bronchus, and lung cancer",31,0.6
Melaka,Medically certified,"Ischaemic heart diseases",770,20.0
Melaka,Medically certified,"Pneumonia",377,9.8
Melaka,Medically certified,"Cerebrovascular diseases",249,6.5
Melaka,Medically certified,"COVID-19 infection",235,6.1
Melaka,Medically certified,"Transport accidents",121,3.1
Melaka,Medically certified,"Malignant neoplasm of trachea, bronchus and lung",62,1.6
Melaka,Medically certified,"Malignant neoplasm of breast",61,1.6
Melaka,Medically certified,"Chronic lower respiratory diseases",60,1.6
Melaka,Medically certified,"Malignant neoplasm of colon, rectum and anus",57,1.5
